Datei_ID,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
0,-290,290,15,3.0692500000000003,3.744125,1.380125,3.166625,3.258375,3.4093750000000003,3.221125,3.156875
1,-290,232,15,2.987,3.611375,1.694,3.081875,3.267,3.330125,3.197125,3.148625
2,-290,174,15,2.964375,3.406375,1.9085,3.06825,3.2691250000000003,3.246375,3.176125,3.15225
3,-290,116,15,2.98,3.0656250000000003,2.2098750000000003,3.041875,3.2605,3.1175,3.1481250000000003,3.1557500000000003
4,-290,58,15,3.071625,2.541,2.65825,3.050625,3.259625,2.99325,3.12425,3.1675
5,-290,0,15,3.074,0.9935,3.172375,3.08825,3.26025,2.864125,3.079125,3.16575
6,-290,-58,15,2.648875,2.536625,2.90625,3.07375,3.324625,3.01825,3.082625,3.163125
7,-290,-116,15,2.249,2.9095,2.747125,3.0267500000000003,3.335375,3.09675,3.074125,3.156
8,-290,-174,15,1.887,3.2611250000000003,2.72375,3.02325,3.371,3.218625,3.090625,3.178125
9,-290,-232,15,1.299375,3.531,2.74375,3.025125,3.387,3.324625,3.099,3.199875
10,-290,-290,15,0.7305,3.71875,2.861125,3.042125,3.416375,3.415,3.110875,3.2145
11,-232,290,15,3.119,3.6615,2.206,3.010875,3.2145,3.427625,3.207375,3.12625
12,-232,232,15,3.03025,3.412625,2.08725,2.8821250000000003,3.187375,3.29025,3.176625,3.102125
13,-232,174,15,2.9951250000000003,3.122625,2.20275,2.852125,3.18175,3.14325,3.1517500000000003,3.100375
14,-232,116,15,3.007,2.75875,2.402875,2.857,3.19625,3.012,3.130625,3.112
15,-232,58,15,3.043,2.242625,2.6295,2.86675,3.2058750000000003,2.837125,3.10225,3.113625
16,-232,0,15,3.02325,1.2665,3.003,2.912375,3.236,2.698875,3.05275,3.10925
17,-232,-58,15,2.738625,2.25625,2.8885,2.934625,3.30275,2.88625,3.047875,3.11075
18,-232,-116,15,2.445375,2.732,2.79125,2.907,3.33325,3.01,3.038875,3.1008750000000003
19,-232,-174,15,2.21325,3.105125,2.77625,2.902375,3.3628750000000003,3.175125,3.045125,3.1125000000000003
20,-232,-232,15,1.95275,3.388875,2.8116250000000003,2.924125,3.385375,3.298125,3.049875,3.1295
21,-232,-290,15,1.9675,3.669375,2.94525,2.996875,3.407875,3.42875,3.077375,3.15475
22,-174,290,15,3.049375,3.579125,2.5375,2.8472500000000003,3.191875,3.421625,3.191375,3.098625
23,-174,232,15,2.9798750000000003,3.32625,2.387,2.701,3.1433750000000003,3.262375,3.162125,3.0620000000000003
24,-174,174,15,2.95675,2.994375,2.5263750000000003,2.6375,3.16475,3.107,3.14325,3.060375
25,-174,116,15,2.949125,2.63475,2.61625,2.614625,3.168,2.92225,3.117625,3.0525
26,-174,58,15,2.982875,2.077625,2.78525,2.63775,3.2065,2.74275,3.0932500000000003,3.064
27,-174,0,15,2.96725,1.490375,2.989,2.704875,3.236875,2.605625,3.04625,3.055125
28,-174,-58,15,2.7605,2.18125,2.92625,2.72525,3.287625,2.749,3.015625,3.04525
29,-174,-116,15,2.631875,2.676125,2.880625,2.764,3.3375,2.989875,3.028875,3.065375
30,-174,-174,15,2.452125,3.0295,2.857125,2.76625,3.352,3.14125,3.00925,3.0535
31,-174,-232,15,2.23475,3.35325,2.891125,2.829,3.379,3.305625,3.0245,3.08425
32,-174,-290,15,2.16275,3.608875,2.967,2.90725,3.397875,3.43625,3.05525,3.113375
33,-116,290,15,3.056125,3.592625,2.85325,2.72825,3.25825,3.47325,3.19475,3.09475
34,-116,232,15,2.97875,3.31225,2.675625,2.482625,3.180625,3.2875,3.157,3.028375
35,-116,174,15,2.9558750000000003,2.9678750000000003,2.727,2.39725,3.18025,3.1005000000000003,3.13775,3.0165
36,-116,116,15,2.957,2.595375,2.793,2.3765,3.210125,2.9015,3.12125,3.01125
37,-116,58,15,2.9798750000000003,2.214375,2.9326250000000003,2.43525,3.23675,2.71925,3.100375,3.020875
38,-116,0,15,2.958375,1.79725,3.00225,2.44275,3.256125,2.56025,3.057,3.000125
39,-116,-58,15,2.837125,2.2465,2.957125,2.554625,3.3083750000000003,2.759375,3.032375,3.008625
40,-116,-116,15,2.705375,2.704375,2.910875,2.56775,3.329375,2.9525,3.007375,2.99525
41,-116,-174,15,2.592,2.996875,2.895625,2.583,3.349625,3.12875,3.00775,3.016875
42,-116,-232,15,2.5267500000000003,3.299,2.916125,2.646125,3.36375,3.2885,3.0115,3.042125
43,-116,-290,15,2.53925,3.57425,2.97975,2.7735,3.382875,3.44925,3.057125,3.08225
44,-58,290,15,3.014875,3.604125,3.02175,2.43475,3.3192500000000003,3.510625,3.16425,3.016125
45,-58,232,15,2.98675,3.35675,2.962875,2.164125,3.2735,3.335375,3.15125,2.9825
46,-58,174,15,2.977,3.0975,2.969625,2.071125,3.254625,3.1595,3.139375,2.960625
47,-58,116,15,2.974375,2.775875,2.98375,2.077125,3.258625,2.939125,3.1281250000000003,2.953375
48,-58,58,15,2.99125,2.436,3.016625,2.201875,3.2695,2.71925,3.1145,2.970375
49,-58,0,15,2.9885,2.2105,3.029875,2.270125,3.302125,2.6325,3.089,2.9675
50,-58,-58,15,2.907,2.43925,2.97675,2.297375,3.31625,2.7451250000000003,3.053125,2.9355
51,-58,-116,15,2.850625,2.7905,2.94725,2.3645,3.329625,2.966125,3.047875,2.951125
52,-58,-174,15,2.78925,3.0915,2.93125,2.367875,3.332875,3.141125,3.038125,2.93825
53,-58,-232,15,2.735,3.3661250000000003,2.949875,2.482375,3.340625,3.324625,3.05125,2.98375
54,-58,-290,15,2.79875,3.596,2.98775,2.6395,3.35875,3.501125,3.11525,3.029
55,0,290,15,3.02525,3.647375,3.2485,1.214375,3.353875,3.538125,3.1365,2.968125
56,0,232,15,3.004375,3.4253750000000003,3.163625,1.58325,3.307125,3.34525,3.1205000000000003,2.924875
57,0,174,15,3.002125,3.204875,3.11975,1.642875,3.280625,3.135625,3.109875,2.8795
58,0,116,15,3.015375,2.96975,3.08875,1.776375,3.27725,2.93325,3.111125,2.8865
59,0,58,15,3.024375,2.6805,3.06125,1.922625,3.293375,2.713625,3.11425,2.8937500000000003
60,0,0,15,3.037125,2.56725,3.042125,2.083,3.310625,2.556625,3.108625,2.8465000000000003
61,0,-58,15,3.025625,2.76625,3.011625,2.164625,3.302625,2.7715,3.0928750000000003,2.829625
62,0,-116,15,3.01275,3.019,2.99325,2.174375,3.293375,3.010875,3.09625,2.785125
63,0,-174,15,3.01275,3.24675,2.9805,2.240875,3.291125,3.189625,3.11575,2.788125
64,0,-232,15,3.052,3.4545,2.977875,2.302,3.287375,3.3508750000000003,3.141625,2.720875
65,0,-290,15,3.132875,3.664125,2.997375,2.533125,3.318875,3.54,3.2135,2.585875
66,58,290,15,3.025375,3.601875,3.1982500000000003,2.502375,2.8855,3.495,3.156,3.001875
67,58,232,15,3.028625,3.413875,3.135125,2.290125,2.927875,3.283625,3.113875,2.971375
68,58,174,15,3.039,3.1946250000000003,3.089875,2.210625,3.036625,3.038875,3.0985,2.95675
69,58,116,15,3.04925,2.97575,3.067875,2.229375,3.1225,2.78475,3.09925,2.957375
70,58,58,15,3.03325,2.6906250000000003,3.051375,2.24,3.21275,2.4475,3.114,2.949
71,58,0,15,3.018125,2.587375,3.0315,2.299125,3.278,2.274875,3.099875,2.92125
72,58,-58,15,2.999375,2.7595,3.0340000000000003,2.362875,3.233,2.530625,3.02525,2.907875
73,58,-116,15,3.02075,3.0365,3.0263750000000003,2.340375,3.239875,2.836625,2.943375,2.859875
74,58,-174,15,3.02975,3.253875,3.03325,2.41325,3.23125,3.108625,2.937625,2.907875
75,58,-232,15,3.06825,3.474125,3.0347500000000003,2.52975,3.249,3.3245,2.87275,2.943125
76,58,-290,15,3.121375,3.627125,3.05375,2.692625,3.314625,3.5231250000000003,2.9330000000000003,2.967125
77,116,290,15,3.066125,3.5565,3.1473750000000003,2.786875,2.629125,3.45125,3.1805,3.08
78,116,232,15,3.056625,3.337875,3.075,2.62375,2.569375,3.167625,3.122,3.0500000000000003
79,116,174,15,3.053125,3.121625,3.043875,2.52725,2.764875,2.89025,3.098625,3.029375
80,116,116,15,3.04075,2.885625,3.01925,2.54225,2.923375,2.5895,3.095125,3.044125
81,116,58,15,3.032375,2.64825,3.0111250000000003,2.56225,3.169125,2.143875,3.1135,3.031625
82,116,0,15,2.997875,2.524875,3.00875,2.60925,3.296625,1.866,3.0776250000000003,3.016625
83,116,-58,15,2.9911250000000003,2.732875,3.0255,2.605,3.262125,2.360625,2.953,3.0025
84,116,-116,15,2.983,2.950625,3.03625,2.622,3.239625,2.70175,2.866625,3.001875
85,116,-174,15,2.97525,3.198,3.036375,2.650875,3.254875,3.04225,2.74525,2.99825
86,116,-232,15,2.999,3.38875,3.056625,2.71625,3.291125,3.3000000000000003,2.642625,3.0235
87,116,-290,15,3.058625,3.576375,3.070625,2.864375,3.3605,3.49525,2.77975,3.058625
88,174,290,15,3.082625,3.499625,3.11075,2.91475,2.3345,3.4355,3.19525,3.105
89,174,232,15,3.07075,3.335375,3.06125,2.822875,2.236625,3.181375,3.14625,3.084625
90,174,174,15,3.0585,3.109875,3.0245,2.7765,2.560625,2.90025,3.1255,3.08775
91,174,116,15,3.037875,2.853625,2.9995000000000003,2.728875,2.834,2.505875,3.119625,3.0655
92,174,58,15,3.017,2.58625,2.99275,2.76525,3.14225,1.935,3.146,3.080125
93,174,0,15,2.985625,2.521625,3.0025,2.842,3.380625,1.534625,3.10825,3.078625
94,174,-58,15,2.97525,2.735,3.028625,2.83,3.3245,2.26825,2.917875,3.056625
95,174,-116,15,2.975375,2.9735,3.04375,2.844,3.313625,2.7215000000000003,2.7795,3.060625
96,174,-174,15,2.9725,3.145125,3.048375,2.832,3.30575,3.03925,2.559875,3.05875
97,174,-232,15,2.994875,3.35025,3.065125,2.8705000000000003,3.3485,3.2927500000000003,2.40775,3.061125
98,174,-290,15,3.0191250000000003,3.51375,3.077875,2.970875,3.4235,3.4798750000000003,2.512625,3.092375
99,232,290,15,3.099375,3.46725,3.101375,3.0295,1.90675,3.462,3.195875,3.1195
100,232,232,15,3.07925,3.305,3.053375,2.976625,2.01925,3.18625,3.142,3.103625
101,232,174,15,3.064625,3.128625,3.029,2.966875,2.36625,2.926875,3.125,3.10225
102,232,116,15,3.052,2.95525,3.02325,2.957375,2.73825,2.66025,3.136375,3.11175
103,232,58,15,3.020875,2.712125,2.999875,2.9795000000000003,3.2095,2.08325,3.208125,3.1245000000000003
104,232,0,15,2.97175,2.5500000000000003,2.991,2.97975,3.475125,1.286875,3.125375,3.103875
105,232,-58,15,2.96775,2.759625,3.014,2.9602500000000003,3.3685,2.305875,2.845875,3.087
106,232,-116,15,2.986125,3.020875,3.047625,2.9795000000000003,3.326875,2.830125,2.63625,3.094625
107,232,-174,15,2.998625,3.223125,3.06075,2.990625,3.34275,3.118375,2.410125,3.100375
108,232,-232,15,3.005,3.3668750000000003,3.0715,2.995875,3.372625,3.33875,2.11125,3.095625
109,232,-290,15,3.0145,3.505125,3.091,3.051375,3.4445,3.513,2.229125,3.131625
110,290,290,15,3.10775,3.488875,3.121125,3.247875,1.087625,3.569375,3.16525,3.140375
111,290,232,15,3.099625,3.378,3.10675,3.200875,1.667125,3.343125,3.1265,3.13775
112,290,174,15,3.081375,3.261875,3.0785,3.1715,2.3625000000000003,3.1225,3.131375,3.145
113,290,116,15,3.06675,3.1225,3.062375,3.159125,2.828125,2.93325,3.170875,3.159875
114,290,58,15,3.036,2.8941250000000003,3.016875,3.125,3.233375,2.406625,3.257,3.16275
115,290,0,15,2.978875,2.66675,2.99625,3.1012500000000003,3.56725,0.929875,3.23775,3.1455
116,290,-58,15,3.012125,2.98475,3.0423750000000003,3.1317500000000003,3.44,2.6645,2.87275,3.1477500000000003
117,290,-116,15,3.04125,3.204875,3.071375,3.11375,3.394875,3.086125,2.594875,3.14975
118,290,-174,15,3.051125,3.341875,3.0845,3.118375,3.380125,3.331875,2.20825,3.1635
119,290,-232,15,3.05925,3.430625,3.095875,3.1075,3.40375,3.472125,1.7725,3.1665
120,290,-290,15,3.059125,3.52425,3.111625,3.124625,3.442375,3.59425,1.512125,3.2035
